tokenizer,n,digits,tokens
BERT,0,1,1
BERT,1,1,1
BERT,2,1,1
BERT,3,1,1
BERT,4,1,1
BERT,5,1,1
BERT,6,1,1
BERT,7,1,1
BERT,8,1,1
BERT,9,1,1
BERT,10,2,1
BERT,11,2,1
BERT,12,2,1
BERT,13,2,1
BERT,14,2,1
BERT,15,2,1
BERT,16,2,1
BERT,17,2,1
BERT,18,2,1
BERT,19,2,1
BERT,20,2,1
BERT,21,2,1
BERT,22,2,1
BERT,23,2,1
BERT,24,2,1
BERT,25,2,1
BERT,26,2,1
BERT,27,2,1
BERT,28,2,1
BERT,29,2,1
BERT,30,2,1
BERT,31,2,1
BERT,32,2,1
BERT,33,2,1
BERT,34,2,1
BERT,35,2,1
BERT,36,2,1
BERT,37,2,1
BERT,38,2,1
BERT,39,2,1
BERT,40,2,1
BERT,41,2,1
BERT,42,2,1
BERT,43,2,1
BERT,44,2,1
BERT,45,2,1
BERT,46,2,1
BERT,47,2,1
BERT,48,2,1
BERT,49,2,1
BERT,50,2,1
BERT,51,2,1
BERT,52,2,1
BERT,53,2,1
BERT,54,2,1
BERT,55,2,1
BERT,56,2,1
BERT,57,2,1
BERT,58,2,1
BERT,59,2,1
BERT,60,2,1
BERT,61,2,1
BERT,62,2,1
BERT,63,2,1
BERT,64,2,1
BERT,65,2,1
BERT,66,2,1
BERT,67,2,1
BERT,68,2,1
BERT,69,2,1
BERT,70,2,1
BERT,71,2,1
BERT,72,2,1
BERT,73,2,1
BERT,74,2,1
BERT,75,2,1
BERT,76,2,1
BERT,77,2,1
BERT,78,2,1
BERT,79,2,1
BERT,80,2,1
BERT,81,2,1
BERT,82,2,1
BERT,83,2,1
BERT,84,2,1
BERT,85,2,1
BERT,86,2,1
BERT,87,2,1
BERT,88,2,1
BERT,89,2,1
BERT,90,2,1
BERT,91,2,1
BERT,92,2,1
BERT,93,2,1
BERT,94,2,1
BERT,95,2,1
BERT,96,2,1
BERT,97,2,1
BERT,98,2,1
BERT,99,2,1
BERT,100,3,1
BERT,101,3,1
BERT,102,3,1
BERT,103,3,1
BERT,104,3,1
BERT,105,3,1
BERT,106,3,1
BERT,107,3,1
BERT,108,3,1
BERT,109,3,1
BERT,110,3,1
BERT,111,3,1
BERT,112,3,1
BERT,113,3,1
BERT,114,3,1
BERT,115,3,1
BERT,116,3,1
BERT,117,3,1
BERT,118,3,1
BERT,119,3,1
BERT,120,3,1
BERT,121,3,1
BERT,122,3,1
BERT,123,3,1
BERT,124,3,1
BERT,125,3,1
BERT,126,3,1
BERT,127,3,1
BERT,128,3,1
BERT,129,3,1
BERT,130,3,1
BERT,131,3,1
BERT,132,3,1
BERT,133,3,1
BERT,134,3,1
BERT,135,3,1
BERT,136,3,1
BERT,137,3,1
BERT,138,3,1
BERT,139,3,1
BERT,140,3,1
BERT,141,3,1
BERT,142,3,1
BERT,143,3,1
BERT,144,3,1
BERT,145,3,1
BERT,146,3,1
BERT,147,3,1
BERT,148,3,1
BERT,149,3,1
BERT,150,3,1
